"Item","Plat","Status"
Axi C1 Intact,7,Offline
Meso S3 Intact,21,Online
Lith N2 Exceptional,-1,Unlisted
Lith N3 Exceptional,14,Offline
Neo V4 Intact,9,Offline
Axi C2 Flawless,-1,Unlisted
Neo N4 Intact,4,Online
Axi E1 Intact,7,Online
Neo V3 Intact,1,Online
Axi C1 Flawless,-1,Unlisted
Lith S3 Intact,7,Offline
Axi H2 Intact,14,Offline
Meso N3 Exceptional,10,Buying
Meso O1 Radiant,-1,Unlisted
Neo B3 Radiant,24,Online
Meso S4 Flawless,-1,Unlisted
Neo N5 Exceptional,24,Offline
Neo B3 Exceptional,-1,Unlisted
Neo T1 Flawless,-1,Unlisted
Axi V3 Exceptional,-1,Unlisted
Meso C2 Intact,19,Offline
Neo S5 Exceptional,-1,Unlisted
Aklex Prime Blueprint,9,Online
Lith A2 Radiant,5,Offline
Aklex Prime Set,44,Online
Ballistica Prime Blueprint,8,Online
Tranquil Cleave,4,Online
Large Cuthol,2,Online
Medium Sharrac,0,Online
Greedy Pull,14,Online
Silva & Aegis Prime Set,34,Online
Sanctuary,2,Online
Tether Grenades,0,Online
Aviator,8,Online
Swooping Falcon,7,Online
Link Health,9,Online
Large Sharrac,1,Online
Pack Leader,3,Online
Stockpiled Blight,18,Online
Soul Survivor,9,Online
Thumper,9,Online
Nami Skyla Prime Handle,4,Online
Fracturing Wind,0,Online
Fulmination,49,Online
Ammo Drum,9999,Online
Sovereign Outcast,3,Online
Gladiator Might,19,Online
Heavy Impact,4,Online
Thunderbolt,1,Online
Pool of Life,99,Online
Entropy Burst,13,Online
Fatal Attraction,1,Online
Seismic Palm,1,Online
Rush,2,Online
Pressure Point,0,Online
Constitution,8,Online
Infected Clip,2,Online
Smite Infusion,13,Online
Modified Munitions,9,Online
Cleanse Infested,1,Offline
Natural Talent,4,Online
Blaze,34,Online
Haven,11,Offline
Flechette,2,Online
Shimmering Blight,3,Online
Justice Blades,11,Online
Buzz Kill,8,Online
Vacuum,1,Online
Secura Dual Cestra,34,Online
Creeping Bullseye,1,Online
Mutalist Alad V Assassinate Key,4,Online
Irradiating Disarm,11,Online
Antimatter Absorb,13,Online
Arcane Barrier,17,Online
Arcane Ice,0,Online
Telos Boltor,29,Online
Frost Prime Set,139,Online
Kavasa Prime Collar Set,39,Online
Latron Prime Set,44,Online
Lex Prime Set,8,Online
Odonata Prime Set,58,Online
Gun Glide,14,Online
Rime Vault,44,Offline
Vanquished Prey,34,Offline
Voltaic Lance,249,Online
Deft Tempo,0,Offline
Double Tap,19,Online
Final Act,9,Online
Final Tap,2,Offline
Hydraulic Chamber,2,Offline
Hydraulic Gauge,3,Offline
Loose Hatch,0,Offline
Catalyzer Link,3,Online
Narrow Barrel,49,Online
Targeting Subsystem,8,Online
Strun Wraith Barrel,9,Online
Strun Wraith Receiver,8,Online
Tectonic Fracture,13,Online
Mantis Set,15,Online
Acid Shells,18,Online
Nightwatch Napalm,17,Online
Quasar Drill,14,Online
Comet Blast,4,Online
Nebula Bore,3,Online
Kaszas Blade,11,Online
Velocitus Receiver,5,Online
Fluctus Barrel,7,Online
Fluctus Limbs,9,Online
Fluctus Stock,5,Online
Decurion Barrel,12,Online
Lith F1 Flawless,-1,Unlisted
Lith M1 Radiant,19,Offline
Lith S1 Intact,9,Online
Meso N2 Intact,9,Online
Meso N2 Exceptional,-1,Unlisted
Meso N2 Flawless,-1,Unlisted
Meso N2 Radiant,19,Offline
Meso V1 Exceptional,-1,Unlisted
Meso V1 Radiant,24,Offline
Meso V2 Exceptional,-1,Unlisted
Neo D1 Intact,11,Online
Neo D1 Exceptional,-1,Unlisted
Neo D1 Flawless,-1,Unlisted
Neo S2 Radiant,9,Buying
Axi K1 Exceptional,-1,Unlisted
Axi N1 Radiant,39,Offline
Axi N2 Exceptional,29,Offline
Axi S1 Exceptional,-1,Unlisted
Ignis Wraith Blueprint,2,Online
Hydroid Prime Set,79,Online
Cleanse Corrupted,9,Online
Kappa Beacon,44,Online
Star Crimzian,0,Online
Virtuos Strike,4,Online
Hunter Adrenaline,3,Online
Axi V7 Intact,3,Offline
Meso H1 Intact,4,Offline
Axi A3 Intact,2,Offline
Axi V7 Exceptional,14,Offline
Viper Wraith,49,Online
Neo S4 Flawless,69,Buying
Meso S1 Flawless,-1,Unlisted
Lith V2 Flawless,-1,Unlisted
Meso F3 Flawless,99,Offline
Axi L1 Exceptional,30,Buying
Meso F3 Exceptional,-1,Unlisted
Lith G2 Intact,4,Offline
Neo E1 Flawless,-1,Unlisted
Axi S2 Radiant,13,Offline
Axi S2 Flawless,-1,Unlisted
Orokin Derelict Plaza Scene,88,Online
Grineer Shipyards Manufactory Scene,49,Online
Infested Ship Bridge Scene,49,Online
Lua Nursery Scene,19,Offline
Corpus Gas City Conduit Scene,49,Online
Grineer Settlement Reactor Scene,78,Online
Corpus Ice Planet Wreckage Scene,24,Offline
Eidolon Madurai Lens,74,Online
Eidolon Zenurik Lens,74,Online
Eidolon Vazarin Lens,74,Online
Eidolon Unairu Lens,74,Online
Zephyr Prime Chassis,2,Online
Neo B4 Intact,1,Offline
Meso T1 Intact,2,Online
Neo K1 Intact,1,Offline
Axi K3 Exceptional,-1,Unlisted
Neo V7 Exceptional,-1,Unlisted
Pyrana Prime Blueprint,9,Online
Meso Z1 Radiant,8,Offline
Pyrana Prime Receiver,2,Online
Meso Z1 Flawless,-1,Unlisted
Axi L2 Exceptional,-1,Unlisted
Lith L1 Radiant,9,Offline
Pyrana Prime Barrel,1,Online
Neo L1 Flawless,-1,Unlisted
Axi K3 Flawless,-1,Unlisted
Destreza Prime Set,14,Online
Axi L2 Flawless,-1,Unlisted
Destreza Prime Handle,4,Online
Neo B5 Radiant,13,Offline
Axi K3 Intact,3,Offline
Axi V8 Flawless,-1,Unlisted
